region;tik;tikId;uik;address;center;city;lat;lon;distance;voters;totalVotes;Poroshenko;Zelenskiy;Tymoshenko
м.Київ;ТВО №223;223;ВД № 800986;вул.Лук’янівська, 5, м.Київ, 04107;;;50.46582286;30.49160957;808.8765881534432;1354;883;284;171;110
м.Київ;ТВО №212;212;ВД № 800094;вул.Княжий Затон, 12А, м.Київ, 02095;;;50.4025835;30.61905489;810.0773672374727;2292;1658;380;464;227
м.Київ;ТВО №214;214;ВД № 800380;вул.Челябінська, 5, м.Київ, 02002;;;50.45889594;30.59615731;814.4052159828279;1735;1177;320;248;153
м.Київ;ТВО №223;223;ВД № 800993;вул.Половецька, 7/13, м.Київ, 04107;;;50.46922374;30.48497915;814.7632036499415;2350;1608;466;351;198
м.Київ;ТВО №218;218;ВД № 800804;вул.Чорнобильська, 10Б, м.Київ, 03179;;;50.45786516;30.35111058;815.8100033203449;2313;1654;477;373;222
м.Київ;ТВО №222;222;ВД № 800902;вул.Виборзька, 57, м.Київ, 03067;;;50.44865564;30.43942801;818.8513696314933;2290;1576;428;399;224
м.Київ;ТВО №212;212;ВД № 800093;вул.Княжий Затон, 12А, м.Київ, 02095;;;50.40267567;30.61900262;818.8721666731867;2256;1657;454;454;187
м.Київ;ТВО №219;219;ВД № 800775;вул.Львівська, 47/8, м.Київ, 03179;;;50.45274407;30.35639443;819.4948005747573;2124;1510;448;347;208
м.Київ;ТВО №214;214;ВД № 800391;вул.Юності, 1, м.Київ, 02192;;;50.4628142;30.61547203;819.5694601588664;2330;1612;418;375;220
м.Київ;ТВО №223;223;ВД № 800988;вул.Рибалка Маршала, 7/18, м.Київ, 04116;;;50.45489643;30.47964418;825.0578849956213;2441;1681;517;388;167
м.Київ;ТВО №223;223;ВД № 801010;вул.Бакинська, 12, м.Київ, 04086;;;50.48101666;30.4486126;826.5762059545716;2419;1623;417;427;221
м.Київ;ТВО №222;222;ВД № 800903;вул.Виборзька, 57, м.Київ, 03067;;;50.44875332;30.43892026;828.5492212512689;2275;1513;427;395;190
м.Київ;ТВО №212;212;ВД № 800092;вул.Княжий Затон, 12А, м.Київ, 02095;;;50.40280155;30.61899737;832.2283886869152;2046;1446;448;384;147
м.Київ;ТВО №223;223;ВД № 800981;вул.Січових Стрільців, 60, м.Київ, 04050;;;50.4568539;30.48993698;832.6927958224852;1437;954;312;184;116
м.Київ;ТВО №219;219;ВД № 800774;вул.Львівська, 47/8, м.Київ, 03179;;;50.45274787;30.35615993;834.1209341744898;2245;1411;321;413;196
м.Київ;ТВО №221;221;ВД № 800609;бульв.Дружби Народів, 12Б, м.Київ, 01103;;;50.41295102;30.53621212;837.1581296481489;2315;1576;423;401;222
м.Київ;ТВО №221;221;ВД № 800592;вул.Рибальська, 4, м.Київ, 01011;;;50.43446442;30.54344671;838.7059891404724;2185;1468;390;356;188
м.Київ;ТВО №215;215;ВД № 801081;вул.Матеюка Миколи, 2А, м.Київ, 02156;;;50.468814;30.63576221;839.288014675822;1437;897;119;576;30
м.Київ;ТВО №223;223;ВД № 800973;пров.Чеховський, 4А, м.Київ, 01054;;;50.45150303;30.50245643;845.867900326215;1087;767;255;113;112
м.Київ;ТВО №222;222;ВД № 800904;вул.Виборзька, 57, м.Київ, 03067;;;50.44849371;30.43910801;845.9307940403926;2305;1514;427;367;221
м.Київ;ТВО №212;212;ВД № 800143;вул.Кошиця Олександра, 6, м.Київ, 02068;;;50.40683783;30.64492215;846.6390132420939;2160;1501;365;402;208
м.Київ;ТВО №212;212;ВД № 800144;вул.Кошиця Олександра, 6, м.Київ, 02068;;;50.40664593;30.64454504;846.692234711151;2332;1669;337;490;222
м.Київ;ТВО №217;217;ВД № 800477;вул.Йорданська, 7А, м.Київ, 04211;;;50.49516063;30.5056188;847.9356742244616;2175;1567;393;381;207
м.Київ;ТВО №212;212;ВД № 800123;просп.Григоренка Петра, 21Б, м.Київ, 02068;;;50.40574078;30.63364584;849.9706534363692;2251;1673;446;421;188
м.Київ;ТВО №215;215;ВД № 800307;вул.Мілютенка, 5Б, м.Київ, 02156;;;50.46726233;30.63264325;850.955562263692;2049;1430;355;382;150
м.Київ;ТВО №218;218;ВД № 800799;вул.Пушиної Феодори, 54, м.Київ, 03179;;;50.45735375;30.35193086;850.9698908337458;2176;1513;348;388;228
м.Київ;ТВО №212;212;ВД № 800148;вул.Вербицького Архітектора, 14Г, м.Київ, 02121;;;50.40837296;30.65035405;852.1778470959961;1857;1319;337;334;208
м.Київ;ТВО №218;218;ВД № 800800;вул.Чорнобильська, 10Б, м.Київ, 03179;;;50.45759282;30.3507185;854.2395057975993;2130;1449;366;373;206
м.Київ;ТВО №221;221;ВД № 800594;вул.Рибальська, 4, м.Київ, 01011;;;50.43460768;30.54371017;860.6519035278852;2304;1588;472;270;264
м.Київ;ТВО №216;216;ВД № 800161;вул.Вербицького Архітектора, 7, м.Київ, 02091;;;50.40929092;30.65952979;864.6044792494646;2246;1498;328;403;228
м.Київ;ТВО №212;212;ВД № 800124;просп.Григоренка Петра, 21Б, м.Київ, 02068;;;50.40589564;30.63311508;866.9358909260123;2314;1616;443;416;208
м.Київ;ТВО №216;216;ВД № 800162;вул.Вербицького Архітектора, 7, м.Київ, 02091;;;50.40947424;30.65974968;872.2839979860279;2212;1456;338;417;171
м.Київ;ТВО №221;221;ВД № 800595;вул.Лейпцизька, 11А, м.Київ, 01015;;;50.43202497;30.54896728;872.7443073923771;2528;1580;489;556;82
м.Київ;ТВО №223;223;ВД № 801028;вул.Дегтярівська, 49Г, м.Київ, 03113;;;50.4609182;30.43247367;876.1534835932091;2304;1467;407;533;109
м.Київ;ТВО №223;223;ВД № 801055;узвіз Вознесенський, 22, м.Київ, 04053;;;50.46029762;30.5067265;878.5216279529047;143;138;31;27;31
м.Київ;ТВО №223;223;ВД № 801061;вул.Платона Майбороди, 19, м.Київ, 04050;;;50.46942033;30.47650124;883.1720884674353;120;105;11;32;22
м.Київ;ТВО №222;222;ВД № 800895;вул.Політехнічна, 16/9, м.Київ, 03056;;;50.44788567;30.4544127;888.7039804117298;1941;1366;290;598;62
м.Київ;ТВО №223;223;ВД № 801058;вул.Бульварно-Кудрявська, 27, м.Київ, 01054;;;50.45135616;30.500139;890.9865728208422;147;128;23;39;11
м.Київ;ТВО №217;217;ВД № 800527;вул.Північна, 26, м.Київ, 04214;;;50.5269142;30.50912254;891.2038895337919;2268;1579;369;410;235
м.Київ;ТВО №223;223;ВД № 800978;вул.Тургенєвська, 8/14, м.Київ, 01054;;;50.44891913;30.49558153;893.8072462133398;2099;1317;447;210;182
м.Київ;ТВО №217;217;ВД № 800577;просп.Героїв Сталінграда, 16, м.Київ, 04210;;;50.50893374;30.50986469;894.7969508691272;39;39;11;18;7
м.Київ;ТВО №217;217;ВД № 800528;вул.Північна, 26, м.Київ, 04214;;;50.52673022;30.5093828;895.7076452845529;2165;1444;355;375;203
м.Київ;ТВО №214;214;ВД № 800379;вул.Челябінська, 7В, м.Київ, 02002;;;50.45919689;30.5936136;897.2140211432923;2341;1708;482;334;221
м.Київ;ТВО №212;212;ВД № 800147;вул.Вербицького Архітектора, 14Г, м.Київ, 02121;;;50.40875729;30.65008094;897.4661900953462;1959;1432;329;415;179
м.Київ;ТВО №221;221;ВД № 800596;вул.Лейпцизька, 11А, м.Київ, 01015;;;50.43209512;30.54940962;902.9179767649764;2470;1627;447;342;294
м.Київ;ТВО №212;212;ВД № 800146;вул.Вербицького Архітектора, 14Г, м.Київ, 02121;;;50.40885268;30.65048549;903.62527414364;2031;1449;330;385;218
м.Київ;ТВО №222;222;ВД № 800908;вул.Гарматна, 10, м.Київ, 03067;;;50.45123319;30.43397427;904.6541280525721;2265;1499;413;435;192
